Features	Target
2026 , Petróleos Mexicanos requerirá 19 mil millones dólares gobierno federal Petróleos Mexicanos ( Pemex ) requerirá gobierno federal 19 mil millones dólares 2026 cubrir necesidades efectivo , operativas pago deuda , aseguró Roxana Muñoz , vicepresidenta analista senior calificadora Moody’s .	Economía
Gasolinas diésel van primer mes subsidios Brindar menores estímulos ha permitido recaudar mayores ingresos secretaría Hacienda ; enero agosto año , ha recaudado 82% más dinero IEPS combustibles .	Economia
Tribunal da 5 días X validar representante legal Brasil Río Janeiro . , red social X nombró representante legal Brasil , exigencias volver funcionar país , seguirá suspendida cumplir requisitos judiciales . Tribunal Supremo Brasil dio plataforma social X , propiedad Elon Musk , cinco días presentar documentos validen nuevo representante legal país , mostró sábado decisión judicial .	Economía
Entusiastas asistentes OSM festejaron Islas CU 114 años UNAM rugido puma resonó volumen sábado Islas Ciudad Universitaria ( CU ) , Universidad Nacional Autónoma México ( UNAM ) celebró 114 aniversario concierto memorable cargo Orquesta Sinfónica Minería ( OSM ) .	Cultura
Norris consigue pole   GP Singapur ; Checo , fuera top-10 mexicano Sergio Pérez ( Red Bull ) entró socavón . Arrancó des-de fondo , esperanzado neumáticos ayudarían remontar , terminó lejos dos pilotos disputan título mundial Fórmula 1 calificación Gran Premio Singapur . Ubicado lugar 13 , tapatío finalizó carrera poco memorable respecto rendimiento Lando Norris ( McLaren ) tricampeón mundial Max Verstappen , primero segundo parrilla salida , respectivamente .	Deportes
Anahit María sale Gran Bretaña Armenia exhibición Diosa Madre : Anahit María , realizada originalmente Museo Británico , fue prestada manera exclusiva seis meses Museo Historia Armenia , ubicado ciudad Yerevan . muestra es reflexión papel femenino materno distintas deidades variadas culturas . imagen , cabeza estatua bronce diosa Anahit , perteneciente cultura persa , data siglo I antes Cristo .	Cultura
estanca producción granos   sexenio producción granos oleaginosas México ha incrementado 37 ciento entrada vigor Tratado Libre Comercio América Norte ( TLCAN ) , actualmente Tratado México , Estados Unidos Canadá ( T-MEC ) , fecha ; embargo , sexenio crecimiento ha estancado , revelan datos oficiales .	Economía
“ feminismo devolvió dignidad existencia , arte también ” : Sofía Weidner “ No prometo salgan alegres mente tranquila exposición . No quise generar arte causara comodidad ” , confesó Sofía Weidner inauguración Musas negras , Museo Ciudad México . Emociones tristes , dolorosas furiosas están plasmadas obras hoy trascienden ser vistas público significan cobijo , abandono soledad sueño cumplido . “ Así feminismo devolvió dignidad existencia , arte también ” , declaró creadora .	Cultura
Repuntó julio economía : Inegi economía mexicana creció más esperado julio , debido incremento ‘ inusual ’ sectores agrícola , ganadero pesca , reveló Instituto Nacional Estadística Geografía ( Inegi ) .	Economía
Fitch S&P descartan degradar calificación México reforma judicial agencias calificadoras ven finanzas sólidas esperan prudencia fiscal Claudia Sheinbaum .	Economia
Espartaco Martínez traslada libro obra Sutra corazón bailarín coreógrafo butoh , Espartaco Martínez , ha interpretado ocasiones obra Sutra corazón , experiencia sensorial torno condición humana necesidad liberación emocional , presentará hoy libro vestíbulo Casa Miguel Alemán Complejo Cultural Pinos Chapultepec enseñanza relacionada volver origen vida .	Cultura
Manuel Ahumada , dibujante “ demasiado viejo punk , muy joven morir ” Era “ demasiado viejo punk , muy joven morir ” , dijo Manuel Ahumada ( 1956-2014 ) Gonzalo Rocha , ambos moneros colaboradores Jornada . “ día elevó más ahora mira cosmos , acompañado dioses aztecas , ángeles astronautas Apolo 11 ” , agregó referencia día aquél falleció personajes eran frecuentes imaginario obra .	Cultura
Google salva multa antimonopolio 1,670 mmd caso comenzó supuesto dominio anticompetitivo empresa mercado publicidad línea .	Ciencia
Microsoft invertirá mil 300 mdd México infraestructura IA nan	Economía
Ahora usuarios Uber también deberán verificar identidad Uber implementará nueva verificación identidad pasajeros , objetivo ofrecer mayor seguridad conductores evitar fraudes plataforma .	Ciencia
Proyecto ministro Pérez Dayán impedirá UIF bloquear cuentas bancarias lavado ministro Alberto Pérez Dayán propondrá endurecimiento requisitos Unidad Inteligencia Financiera ( UIF ) pueda asegurar cuentas bancarias titulares son sospechosos operaciones lavado dinero .	Economía
Peligra economía México Trump gana cumple aranceles : Moody's agencia calificadora anticipa economía mexicana sufriría recesión 2025 mayor inflación .	Economia
Intel logra acuerdo 3,500 mdd fabricar chips ejército trata programa secreto , llamado Secure Enclave , busca establecer producción chips avanzados aplicaciones militares Inteligencia .	Ciencia
primera vez 2 años , tasa Cetes baja 10% Después casi dos años ofrecer rendimientos anuales doble dígito , tasa interés Certificados Tesorería Federación ( Cetes ) ha caído debajo 10 ciento . analistas , indica mercados anticipan Banco México ( BdeM ) reducirá tasa referencia próximo jueves línea Reserva Federal Estados Unidos .	Economía
Brasil ! Brasil ! revela visión vibrante Modernismo Berna . exposición Brasil ! Brasil ! : The Birth of Modernism ( ¡ Brasil ! ¡ Brasil ! : nacimiento Modernismo0 , inaugurada Zentrum Paul Klee , ofrece visión vibrante movimiento artístico país sudamericano largo obra 10 artistas , cinco autodidactas poco conocidos internacionalmente . 130 obras expuestas han salido Brasil primera vez . muestra coincide temáticamente Bienal Venecia , más mitad artistas aquí presentes también participan .	Cultura
Sufre rechazo Alemania reservas Italia posible fusión UniCredit Commerzbank Milán . jefe banco italiano UniCredit , Andrea Orcel , participó viernes reunión virtual representantes alemán Commerzbank , convertirse mayor inversor privado prestamista alemán , informó Reuters fuente conocedora asunto .	Economía
Científicos descubren coral es capaz retener microplásticos Madrid . nueva técnica detección microplásticos descubrió tres partes anatomía coral ( mucosidad superficial , tejido esqueleto ) contienen clase desechos artificiales .	Ciencia
México va facilitar respaldar inversiones EU : Marcelo Ebrard Luego aprobada reforma judicial , próximo secretario Economía revivió posteó video redes sociales dice integración dos economías avanza paso acelerado .	Economia
"Meta presenta Quest 3S , versión "" económica "" visor realidad mixta Meta calificó dispositivo proveedor   “ experiencias increíbles precio inigualable ” ."	Ciencia
e-commerce chino conquista bolsas valores dueños Alibaba , Temu JD conquistan e-commerce mundo , diversifican negocios .	Ciencia
Aterriza nave Soyuz misión récord EEI Moscú . cápsula Soyuz transportaba dos cosmonautas rusosy astronauta estadunidense Estación Espacial Internacional aterrizó Kazajstán , poniendo fin estadía récord pareja rusa .	Ciencia
Economía mexicana crece 0.6% julio actividades primarias encabezaron crecimiento económico país séptimo mes año .	Economia
es audiencia quiere conquistar iPhone 16 Apple es consciente usuarios iPhone 15 difícilmente van renovar smartphone , hay segmento pueden seducir .	Ciencia
Copa Laver equipo resto mundo tomó ventaja 8-4 Copa Laver selección Europa . triunfos estadunidenses Taylor Fritz ( imagen ) Frances Tiafoe alemán Alexander Zverev ruso Daniil Medvedev , respectivamente , fueron fundamentales comandados John McEnroe tomaran delantera justa define hoy campeón acumule 13 puntos Berlín .	Deportes
Toro finaliza lugar 12 Mundial Ciclismo pedalista mexicano Isaac Toro ubicó lugar 12 prueba contrarreloj categoría Sub 23 Mundial Ciclismo Ruta , disputa Zurich .	Deportes
Ricardo Yáñez : Isocronías Siete escritoras ha reunido Minerva Aguilar Temoltzin , autora Vuelo letras , libro nacido recital homónimo ofrecido escritoras tlaxcaltecas organizado Asociación Escritores México . decir Obed González , director Literatura Feria Internacional Libro Coyoacán , – auspiciadora volumen ánimo representativo considera lírica voces femeninas – , es posible palpar “ somos lenguaje , somos flexibles constante transformación ” . Vayamos sucintamente poetas – nacidas años 50 80 – :	Cultura
Microsoft usará energía nuclear alimentar Inteligencia Artificial acuerdo Microsoft Constellation Energy permitirá reactivar unidad planta nuclear Three Mile Island cubrir crecientes necesidades energéticas .	Ciencia
Inversión conectividad no caerá pese política judicial : Neutral Networks CEO compañía Neutral Networks , enfocada infraestructura crítica , dijo necesidad conectividad nivel usuario empresa será más fuerte agendas políticas .	Ciencia
Impulsa CRE infraestructura autos eléctricos disposiciones administrativas materia electromovilidad emitidas Comisión Reguladora Energía ( CRE ) no sólo impulsarán desarrollo infraestructura uso automóviles eléctricos híbridos , también ordenamiento Sistema Eléctrico Nacional ( SEN ) , acuerdo regulador .	Economía
Sinner , “ decepcionado ” apelación AMA Roma . tenista número mundo Jannik Sinner dijo estar “ muy decepcionado sorprendido ” , después Agencia Mundial Antidopaje ( AMA ) decidió impugnar decisión Agencia Integridad Tenis Internacional determinó no hubo culpabilidad dos positivos dopaje .	Deportes
Nintendo The Pokémon Company demandan creador Palworld empresas japonesas iniciaron acción legal contra Pocketpair , debido infracciones patentes desarrollar llamado “ Pokémon armas ” .	Ciencia
Usuarios reportan alerta sísmica nunca llegó celulares IFT había asegurado hoy empresas enviarían mensajes emergencia sismos nunca llegaron . Telcel asegura alertas dependen regulador .	Ciencia
endeudamiento mexicanos exterior representa 35% PIB Banco México ( Banxico ) dio conocer segundo trimestre año redujo endeudamiento mundo 42% reportado primer trimestre .	Economia
Inversiones México mantendrán , pese débil Estado Derecho : UBS banco inversión dijo México mantendrá inversiones , aprovechar potencial ofrece nearshoring .	Economia
México registra déficit comercial 4,868 mdd agosto exportaciones mexicanos cayeron 1% importaciones crecieron 5.7% , acuerdo Inegi .	Economia
Traspié peso espera recorte tasas BdeM peso mexicano debilitó frente dólar miércoles , víspera anuncio política monetaria Banco México ( BdeM ) .	Economía
Pekín recorta tasas estimular economía Pekín . Banco Central China anunció ayer nuevas medidas impulsar economía , recorte tasas interés , incluida referencia hipotecaria , así reducción depósito bancos deben mantener reserva .	Economía
Desacelera inflación anual cuarta quincena consecutiva inflación general primera quincena septiembre México desaceleró 4.66 ciento anual , menor nivel segunda quincena mayo 2024 , revelaron cifras Instituto Nacional Estadística Geografía ( Inegi ) .	Economía
salarios , programas sociales remesas mantienen consumo México Pese inflación mayor tasa interés , consumo privado México ha sido pilar economía , tendencia queda tiempo , advierten analistas .	Economia
Enrique Dussel Peters * : China : ¿ desarrollo través política industrial ? Enfatizamos   colaboración 11 septiembre año profunda competencia Estados Unidos China liderazgo tecnológico global . hubiera sido impensable todavía hace dos décadas principios siglo XXI , lema “ China barata ” .	Economía
Compras maíz Estados Unidos incrementaron 23% sexenio contexto producción granos básicos ha estancado , administración presidente Andrés Manuel López Obrador terminará incremento aproximadamente 23 ciento volumen importaciones maíz Estados Unidos .	Economía
¿ funciona canje teléfonos Mercado Libre ? Mercado Libre lanzó nuevo programa llamado Trade smartphones , puedes canjear antiguo celular modelo nuevo .	Ciencia
Google demanda Microsoft supuesto monopolio nube denuncia fue presentada Comisión Europea , anunció propio Google .	Ciencia
abuelita lucha libre , emblema aficionado fiel espectáculo deportivo interpela público protagonista lucha libre . Lejos ser simples espectadores , ahí asistentes son actores reparto . Exigen piedad condenan sufrimiento conside-ran merece . Más hinchada entusiasta , aficionados pancracio son elenco veces estrellas . representa protagonista butacas inolvidable doña Virginia Aguilera , conocida abuelita lucha libre , más medio siglo representó aficionado fiel apasionado .	Deportes
Enrique Galván Ochoa : Dinero presidenta República     tomará posesión próximo martes , Claudia Sheinbaum Pardo , asistió congreso nacional Morena dijo no será partido Estado ; habrá distancia . pidiera abdicó título jefa partido , ya es jefa Gobierno , jefa Estado comandanta suprema fuerzas armadas . organización guinda enarbolará bandera 4T. Fue fundada presidente Andrés Manuel López Obrador . Ha anunciado mil veces retirará quinta Palenque , , asegura , llevará vida aislamiento política políticos . Incluso no recibirá amigos . Dos círculo más íntimo fueron elegidos dirigir formalmente partido : Luisa María Alcalde , presidenta Andrés Andy López Beltrán secretario Organización . Serán ojos voz .	Economía
Gana América Campeones Cup nan	Deportes
Vilma Fuentes : Entusiasmo melancolía Encuentros deportivos Juegos Olímpicos Copa Mundial futbol provocan amplios movimientos entusiasmo envidian políticos estrellas cine . detenemos segundos observar aumento pasión suscitan medida desarrollan , podríamos sentir curiosidad causas .	Cultura
Cruz Azul , intratable ; vence 1-0 Chivas afianza superliderato Hay partidos marcan agenda Cruz Azul . Después clásico joven América , rivalidad Guadalajara tiene valor especial . peso escenario importante , Máquina volvió cantar victoria estadio Ciudad Deportes ( 1-0 ) mantenerse único líder Liga Mx seguir carrera campeonato .	Deportes
Brasil desbloquea cuentas Starlink X transferencia 3 mdd juez Supremo Tribunal dijo levantamiento ordenó cantidad transferida arcas Brasil alcanzaba total X debía país concepto multas .	Ciencia
Seguridad energética , amenazada nivel mundial tensiones geopolíticas : WEF transición energética nivel global observa avances , particular economías desarrolladas , así China Brasil . No obstante , equidad ha retrocedido tensiones geopolíticas causan incertidumbre seguridad energética , revela informe Foro Económico Mundial ( WEF , siglas inglés ) .	Economía
Intel aplaza proyecto instalar fábricas Alemania Polonia anuncio presenta después revelara empresa recibirá 3,000 millones dólares gobierno estadounidense fabricar semiconductores .	Ciencia
Guadalajara deja escapar valioso triunfo ; iguala 1-1 Monterrey partido intensidad polémica arbitral incluida , Chivas dejó escapar importante triunfo empatar 1-1 Monterrey duelo jornada 10 torneo Apertura 2024 , disputado ayer estadio Akron .	Deportes
Pemex Infonavit , es Octavio Romero Oropeza presidenta electa , Claudia Sheinbaum , dio conocer Romero Oropeza estará frente Instituto Fondo Nacional Vivienda Trabajadores .	Economia
Pumas sufre más , rescata victoria 1-0 Xolos Pumas sufrió más , rescató domingo importante triunfo 1-0 Xolos Tijuana , resultado catapultó zona liguilla , duelo correspondiente jornada nueve torneo Apertura 2024 Liga Mx , efectuado estadio Olímpico Universitario .	Deportes
inflación cede , Banxico enfrenta más retos bajar tasa interés volatilidad tipo cambio generada avance reforma judicial representa freno banco central   bajar tasa interés referencia .	Economia
CASA celebra talleres creativos tamales Día Nacional Maíz Nativo Oaxaca , Oax . , celebrar Día Nacional Maíz Nativo , conmemora hoy , Asociación Civil Francisco Toledo realiza colaboración Fundación Alfredo Harp Helú Oaxaca ( Fahho ) actividades espacios fundados artista juchiteco ( 1940-2019 ) , luchó defensa grano escala estatal nacional .	Cultura
Banxico sólo tiene espacio hacer recorte 25 puntos analistas consideran banco central debe tener cautela bajar tasas periodos volatilidad descartan hagan recorte 50 puntos hizo Reserva Federal .	Economia
Dos olímpicos conquistan   Zúrich campeones olímpicos Remco Evenepoel ( imagen ) Grace Brown conquistaron ayer pruebas contrarreloj Mundial Ciclismo , celebra Suiza . Brown , australiana 32 años , proclamó campeona mundo primera vez quedar segunda últimos dos años , Evenepoel revalidó título 46.1 kilómetros Zúrich , tiempo 53 minutos 2 segundos . belga 24 años competirá carrera ruta domingo .	Deportes
jubilación digna complica vez más mexicanos quinta parte empleados país contempla jubilarse 66 años más , 86% admite ahorrar menos debería hacerlo actualidad .	Economia
BdeM recortará tasa cuarto punto , anticipa encuesta Analistas económicos consultados Citibanamex anticiparon nuevo recorte 0.25 puntos porcentuales tasa interés referencia Banco México ( BdeM ) reunión próxima semana , estiman ubique 10 ciento cierre 2024 .	Economía
China sufre exceso ... leche mercado leche China enfrenta situación complicada exceso oferta , baja demanda pérdidas millonarias .	Economia
sexenio AMLO , banca ganó más un billón pesos largo sexenio presidente Andrés Manuel López Obrador , conjunto bancos privados operan país han ganando poco más un billón pesos , resultado histórico coloca sector mejor fue gobierno Cuarta Transformación , afirman especialistas .	Economía
David Márquez Ayala : Reporte económico múltiples logros     administración ahora termina , producción alimentos avance autosuficiencia no es , desafortunadamente , . producción cuatro granos básicos alimentación mexicana ( maíz , trigo , frijol arroz ) ascendió 2023 31.9 millones toneladas , apenas 1.0% producción 2018 ( Gráfico 1 ) . productos , periodo producción maíz aumentó 1% , trigo 18.1 , decrecieron frijol – 38.3% arroz 11.2% .	Economía
Tigres rescata empate dos León ; es sublíder polémicas decisiones arbitrales , Tigres rescató empate 2-2 León gol último minuto argentino Juan Brunetta . universitarios valieron criterio silbante Daniel Quintero Huitrón , invalidó dos tantos esmeraldas inclinó balanza favor , igualar encuentro .	Deportes
Pemex requerirá 50,200 mdd tres primeros años Sheinbaum , prevé Moody's apoyo gobierno calificación real Pemex sería Ca , es decir 80% incumplimiento compromisos financieros .	Economia
México EU acuerdan Sader supervise aguacate exportación gobiernos México Estados Unidos acordaron transferencia responsabilidades agilizar comercio .	Economia
obra Nombres combate reúne foro Gruta historias vida resistencia Hay historias merecen ser contadas , no sólo resultan dolorosas heroicas , “ son testimonios vida , cariño resistencia ” , afirmó Martín López Brie , dramaturgo director Nombres combate , obra documental presenta partir hoy foro Gruta , haber enfrentado dificultades propias pandemia .	Cultura
Tigres batallan vencer último lugar torneo duelo fue más complejo esperado , Sebastián Córdova logró darle Tigres triunfo 1-0 sotanero Ciudad Juárez , jornada nueve torneo Clausura 2024 Liga Mx . victoria , felinos escalaron segundo puesto tabla general 20 unidades , dos puntos diferencia líder Cruz Azul .	Deportes
Samsung abre puertas : así conviven humanos brazos mecánicos comenzó planta producción refrigeradores , hoy es centros más importantes Samsung mundo .	Ciencia
Fotografiar es pretexto buscarme : Graciela Iturbide Arropada larga ovación , fotógrafa Graciela Iturbide recibió Medalla Bellas Artes Oro 2024 Artes Visuales , otorga Instituto Nacional Bellas Artes Literatura ( Inbal ) , icónicas imágenes , conjugan documental poético , forman parte esencial acervo gráfico contemporáneo México .	Cultura
Revolut planea operar primeros meses 2025 Juan Guerra , director general firma , dijo espera arrancar operaciones siguiente año cuenta débito nivel 4 transferencias internacionales .	Economia
medio crisis , industria gaming busca nuevo modelo negocio despidos han marcado año videojuegos , especialistas apuntan es nueva oportunidad diversificar contenido creadores independientes .	Ciencia
Beneficios sociales seguro médico , deuda pendiente Hay frase lucha libre revela realidad desafortunada gladiadores : “ sabemos vamos subir , no va-mos bajar ” . halo peligro acompaña dentro cuadrilátero , casi han sufrido lesiones alto grado incluso no han vuelto despertar caer lona ; pese riesgos , mayo-ría trabaja seguro médico , sólo confianza salir ilesos , mejor aún , vivos .	Deportes
impacto nearshoring tendencias laborales MetLife México escasez talento calificado , importancia beneficios competitivos necesidad cultura organizacional sólida son principales desafíos enfrentan empresas	Economia
Raúl Pineda saca luz oscuridad dolor tragedia atraviesan país Traer luz oscuridad es labor artista Raúl Pineda , don memoria fotográfica excesiva persistencia técnica antigua grabado mezzotinta retrata horror desencajado violencia México .	Cultura
Chaquito estará fuera tres meses nan	Deportes
Lactalis reduce casi 10% adquisición leche Francia grupo Lactalis , líder mundial sector lácteo , anunció reducirá finales año volúmenes leche recogidos granjas francesas destinados mercados internacionales , centrarse productos vendidos Francia .	Economía
Mercado Pago hace oficial : presentó solicitud ser banco digital cuenta digital busca aprobación licencia bancaria Comisión Nacional Bancaria Valores ofrecer servicios banca múltiple .	Economia
Yuriria Iturriaga : No sólo pan ... sorprende categoría son ajenas mayoría personas han rodeado vida decenios , sorpresa no es sólo sentir diferenciamos compatriotas mexicanos , , caso , repentina nostalgia paladar , olfato tacto intrabucal infinito mundo pan pasteles , casualidad , pertenecen mundo trigos , es decir , gluten ataca orientales mesoamericanos vieja cepa , no note …	Cultura
iOS 18 , incluye nueva versión actualizar iPhone todavía no ha integrado Apple Intelligence , actualización sistema operativo integra serie mejoras .	Ciencia
Haaland marca gol 100 empate City Erling Haaland marcó gol 100 Manchester City . delantero comparado androide , más número es historia pura . noruego puso adelante equipo Arsenal , quedó 10 jugadores , también inspiró empate 2-2 últimos minutos , John Stones encargó sentenciar .	Deportes
rendimientos Cetes tocan nivel más bajo enero rendimientos Cetes 28 días tuvieron tasa más baja enero pasado expectativa Banxico haga más recortes tasa referencia .	Economia
AMLO , México consolidó principal socio EU administración presidente Andrés Manuel López Obrador ( AMLO ) , primera vez historia , México convirtió consolidó principal socio comercial Estados Unidos , mayor potencia económica mundo . embargo , dicen especialistas , futuro cercano aún quedan retos importantes , ejemplo , definir relación gigante mundial , China , revisión T-MEC , instrumento potenció relación .	Economía
Nadal vuelve competir liderar España final Copa Davis París . leyenda tenis Rafael Nadal , junto número tres mundial , Carlos Alcaraz , liderará España Final 8 Copa Davis , anunció equipo capitaneado David Ferrer torneo disputará 19 24 noviembre , Málaga .	Deportes
Instituciones crédito incertidumbre Reforma Judicial , dice Moody’s pequeñas medianas empresas enfrentarán desaceleración créditos dada falta certeza jurídica instituciones financieras no bancarias .	Economia
gobierno Sheinbaum necesitará nueva política atraer inversiones Consumada desaparición ProMéxico , esfuerzos atraer inversión extranjera dividieron . especialistas cuestionan ente líder podría lograrse aún más .	Economia
México expropia minera Calica ; empresa estadunidense impugnará firma estadunidense Vulcan Materials anunció va impugnar legalmente decisión gobierno mexicano , anunciada lunes noche , expropiar terrenos mina Calica Quintana Roo .	Economía
escritura manual código tiene días contados , vaticina CEO NVIDIA Jensen Huang explicó 32,000 ingenieros software estarán acompañados 100 veces más asistentes digitales , 24 horas día , 7 días semana .	Ciencia
Condusef alerta suplantación identidad 24 financieras Veinticuatro instituciones debidamente constituidas han reportado suplantación identidad cometer fraudes usuarios .	Economia
Bravos vencen Mets acercan comodín Atlanta . Bravos Atlanta hicieron tarea lucha alcanzar boleto comodín postemporada Grandes Ligas . ganar 5-1 Mets Nueva York , quedan victoria conseguir meta .	Deportes
Javier Aranda Luna : Kundera : novela desafío rebeldía 8 diciembre 1968 , año recurrente historia mundo , cuatro amigos embarcaron expedición extraordinaria Praga .	Cultura
cuadrilátero , aguerrido ritual cautiva público medio crecimiento mediático industria entretenimiento , lucha libre mexicana mantiene identidad popular cercanía afición , integrada profesionistas , trabajadores , niños incluso extranjeros complementan escenario espectáculo mezclan deporte , drama cultura .	Deportes
Leyendas pancracio regresan Coliseo Día nacional luchador hombre , ocasiones mujer , máscara sube ring arena Coliseo , afición ovaciona , no importa es rudo técnico , saben está cuadrilátero arriesgar vida medio espectáculos más vistosos , folclóricos polémicos deporte : lucha libre . Místico , Octagón Atlantis , leyendas disciplina , fueron ayer representantes históricos función motivo Día nacional luchador lucha libre .	Deportes
papel economía bienestar gobiernos modernos economía bienestar prioriza salud felicidad personas , colocando valores nivel , incluso encima , indicadores económicos tradicionales PIB .	Economia
Cetes dos años reducen rendimientos dígito , anticipa recorte Banxico plazos Cetes redujeron ganancias , plazo dos años ofrece tasa más baja 9.92% , espera Banxico haga nuevo recorte .	Economia
Jaime Munguía regresa grande   gana nocaut Jaime Munguía regresó ring plan grande . dura pelea canadiense Erik Bazinyan , Glendale , Arizona , pugilista mexicano consiguió victoria vía nocaut décimo asalto , luego poderoso gancho mano izquierda ocasionó derrumbe rival . Bazinyan intentó pararse , recibió cuenta réferi , no encontró fuerza piernas aceptó derrota . combate dejó manos tijuanense título plata peso supermediano CMB . “ Fue pelea fuerte , pesada , momento Bazinyan lastimó . Tuve ir abriéndolo poco poco . Ahora , queremos mejores peleas . siguiente año gustaría enfrentar Caleb Plant Édgar Berlanga ” , declaró Munguía , no peleaba derrota tapatío Saúl Canelo Álvarez .	Deportes
AMLO busca convertir CFE Telecom empresa pública iniciativa reforma quiere CFE TEIT sea principal compañía proveer internet país , respecto competidores , cambiando estatus estatal pública .	Ciencia
Telmex suspende atención quejas Centros servicios Culiacán Sindicato Telefonistas dijo debido enfrentamientos armados entidad , decidió no abrir tiendas , centros trabajo resguardar integridad técnicos .	Ciencia
México pierde penales leyendas FIFA planteles repletos figuras épocas , equipos leyendas FIFA Monterrey protagonizaron partido exhibición congregó miles personas estadio BBVA , actual casa Rayados sedes México Copa Mundo 2026 . Andrea Pirlo , Dwayne Rosario Youri Djorkaeff marcaron internacionales , ex seleccionados tricolores Luis Hernández , Miguel Layún Jorge Campos lograron empate tres . Ya penales , representantes FIFA impusieron 5-4 . Dada inactividad participantes retiro profesional , organizadores ajustaron dimensiones terreno juego . leyendas FIFA estuvieron arquero Gianluigi Buffon , Alessandro Piero , Didier Drogba , Carles Puyol , Xavi Hernández Diego Forlán . México destacaron Oribe Peralta , Luis Hernádez , Jorge Campos , Guillermo Franco , Paul Aguilar técnico Bora Milutinovic .	Deportes
León Bendesky : ejemplo escritor inglés H.G. Wells apuntó Historia supervivencia misma dependen carrera educación catástrofe . idea es adecuada reflexionar cuestiones hoy son relevantes persistente violencia hay mundo , bien , incapacidad humanidad contener degradación medio ambiente .	Economía
Mexicana presenta avión Embraer sumará flota 2025 Zumpango , Méx . , fin consolidarse industria transporte aéreo nacional , Mexicana Aviación , aerolínea Estado mexicano , presentó avión Embraer E195-E2 , modelo adquirieron 20 unidades aerolínea empezará recibir partir mayo 2025 .	Economía
